label,query,engine,json_file,max_results,start_year,end_year,pdf_folder
pubmed_Ethiopia_Paratuberculosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Paratuberculosis OR ""Johne’s disease"" OR ""Mycobacterium avium"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Paratuberculosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Pasteurellosis,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Pasteurell* OR Manhemi*) AND (prevalence OR incidence),pubmed,output/pubmed_Ethiopia/json/Pasteurellosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Peste des petits ruminants (PPR),"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Ethiopia AND (PPR OR ""Peste des petits ruminants"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Peste des petits ruminants (PPR).json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Q fever (Coxiellosis),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Coxiell* OR ""Q fever"" OR ""Coxiella burnetii"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Q fever (Coxiellosis).json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Rabies,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND Rabies AND (prevalence OR incidence),pubmed,output/pubmed_Ethiopia/json/Rabies.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Salmonellosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Salmonell* OR ""Salmonella abortusovis"" OR ""Salmonella typhimurium"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Salmonellosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Sarcocystosis,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Sarcocyst* OR sarcosporidiasis) AND (prevalence OR incidence),pubmed,output/pubmed_Ethiopia/json/Sarcocystosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Schmallenberg,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND Schmallenberg AND (prevalence OR incidence),pubmed,output/pubmed_Ethiopia/json/Schmallenberg.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Scrapie,"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Ethiopia AND (Scrapie OR ""prion disease"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Scrapie.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Sheep and goat pox,"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Ethiopia AND (""sheep and goat pox"" OR ""pox"" OR ""Capripox virus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Sheep and goat pox.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Small ruminant lentivirus infections,"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Ethiopia AND (""Maedi-Visna"" OR Maedi OR ""ovine progressive interstitial pneumonia"" OR ""Infectious arthritis OR encephalitis"" OR ""small ruminant lentivirus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Small ruminant lentivirus infections.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Small ruminant Tuberculosis,(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Ethiopia AND (Tuberculosis OR mycobacterium) AND (prevalence OR incidence),pubmed,output/pubmed_Ethiopia/json/Small ruminant Tuberculosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Theileriosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Theileri* OR ""Theileria mutans"" OR ""Theileria orientalis"" OR ""Theileria velifera"" OR ""Theileria ovis"" OR ""tick-borne diaseases"" OR ""haemoparasitic diseases"" OR haemoparasites OR Piroplasmosis) AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Theileriosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Toxoplasmosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Toxoplasm* OR ""Toxoplasma gondii"") AND Ethiopia AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Toxoplasmosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Trichomonosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ewe) AND Ethiopia AND (Trichomon* OR ""Trichomonas foetus"") AND Ethiopia AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Trichomonosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Trypanosomosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Trypanosom* OR ""Trypanosoma vivax"" OR ""Trypanosoma brucei"" OR ""Trypanosoma congolense"") AND Ethiopia AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Trypanosomosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
