label,query,engine,json_file,max_results,start_year,end_year,pdf_folder
pubmed_Nigeria_Rabies,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND Rabies AND (prevalence OR incidence),pubmed,output/pubmed_Nigeria/json/Rabies.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Salmonellosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Salmonell* OR ""Salmonella abortusovis"" OR ""Salmonella typhimurium"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Salmonellosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Sarcocystosis,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Sarcocyst* OR sarcosporidiasis) AND (prevalence OR incidence),pubmed,output/pubmed_Nigeria/json/Sarcocystosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Schmallenberg,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND Schmallenberg AND (prevalence OR incidence),pubmed,output/pubmed_Nigeria/json/Schmallenberg.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Scrapie,"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Nigeria AND (Scrapie OR ""prion disease"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Scrapie.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Sheep and goat pox,"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Nigeria AND (""sheep and goat pox"" OR ""pox"" OR ""Capripox virus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Sheep and goat pox.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Small ruminant lentivirus infections,"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Nigeria AND (""Maedi-Visna"" OR Maedi OR ""ovine progressive interstitial pneumonia"" OR ""Infectious arthritis OR encephalitis"" OR ""small ruminant lentivirus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Small ruminant lentivirus infections.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Small ruminant Tuberculosis,(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Nigeria AND (Tuberculosis OR mycobacterium) AND (prevalence OR incidence),pubmed,output/pubmed_Nigeria/json/Small ruminant Tuberculosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Theileriosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Theileri* OR ""Theileria mutans"" OR ""Theileria orientalis"" OR ""Theileria velifera"" OR ""Theileria ovis"" OR ""tick-borne diaseases"" OR ""haemoparasitic diseases"" OR haemoparasites OR Piroplasmosis) AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Theileriosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Toxoplasmosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Toxoplasm* OR ""Toxoplasma gondii"") AND Nigeria AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Toxoplasmosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Trichomonosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ewe) AND Nigeria AND (Trichomon* OR ""Trichomonas foetus"") AND Nigeria AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Trichomonosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Trypanosomosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Trypanosom* OR ""Trypanosoma vivax"" OR ""Trypanosoma brucei"" OR ""Trypanosoma congolense"") AND Nigeria AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Trypanosomosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
